iter	Passed	Remaining
401	17481	4261
402	17516	4216
403	17560	4172
404	17611	4131
405	17654	4087
406	17700	4044
407	17744	4001
408	17786	3957
409	17830	3914
410	17877	3871
411	17920	3827
412	17968	3785
413	18012	3741
414	18055	3698
415	18100	3655
416	18148	3612
417	18189	3568
418	18235	3525
419	18284	3482
420	18329	3439
421	18383	3397
422	18427	3354
423	18474	3311
424	18521	3268
425	18566	3225
426	18615	3182
427	18656	3138
428	18706	3095
429	18752	3052
430	18799	3009
431	18843	2966
432	18887	2922
433	18931	2879
434	18979	2835
435	19022	2792
436	19063	2748
437	19109	2705
438	19153	2661
439	19200	2618
440	19242	2574
441	19288	2531
442	19331	2487
443	19378	2444
444	19424	2400
445	19466	2356
446	19513	2313
447	19555	2269
448	19601	2226
449	19643	2182
450	19694	2139
451	19738	2096
452	19783	2052
453	19829	2009
454	19873	1965
455	19920	1922
456	19963	1878
457	20005	1834
458	20047	1790
459	20098	1747
460	20143	1704
461	20186	1660
462	20233	1616
463	20275	1573
464	20324	1529
465	20373	1486
466	20433	1443
467	20480	1400
468	20534	1357
469	20585	1313
470	20636	1270
471	20687	1227
472	20735	1183
473	20785	1140
474	20837	1096
475	20890	1053
476	20945	1009
477	20995	966
478	21051	922
479	21103	879
480	21159	835
481	21206	791
482	21255	748
483	21327	705
484	21384	661
485	21436	617
486	21498	573
487	21546	529
488	21593	485
489	21640	441
490	21692	397
491	21740	353
492	21792	309
493	21842	265
494	21893	221
495	21937	176
496	21980	132
497	22025	88
498	22075	44
499	22124	0
