iter	Logloss
0	0.5872888598
1	0.4985765299
2	0.4276062549
3	0.3540760019
4	0.3100938711
5	0.2654878445
6	0.230164945
7	0.2047107981
8	0.1846146863
9	0.1646639702
10	0.152487307
11	0.1420386764
12	0.1334213733
13	0.1247254722
14	0.1189865115
15	0.1128976039
16	0.1089894806
17	0.1053671873
18	0.1015738502
19	0.0989516601
20	0.0962040849
21	0.0937153081
22	0.09166195128
23	0.09009051428
24	0.08853198073
25	0.08723052413
26	0.08608116171
27	0.08515202884
28	0.08427379134
29	0.08351435165
30	0.08280219088
31	0.08224828471
32	0.08174834423
33	0.0812759889
34	0.08085112923
35	0.08048178101
36	0.080122953
37	0.07981622364
38	0.07952492397
39	0.07928884533
40	0.07905640734
41	0.07888126233
42	0.07870488472
43	0.07856110132
44	0.07840182922
45	0.07828290809
46	0.07813952204
47	0.07802968807
48	0.07794441263
49	0.07786131068
50	0.07776921739
51	0.07769561341
52	0.07763424435
53	0.07757773954
54	0.07753064355
55	0.07748657944
56	0.07744828294
57	0.07740966786
58	0.0773765202
59	0.07735111956
60	0.07732125061
61	0.077282818
62	0.07724977392
63	0.07722109175
64	0.07720030349
65	0.07717412769
66	0.07714786003
67	0.07713372608
68	0.07710260553
69	0.07709121954
70	0.07707121659
71	0.07706031906
72	0.07704240515
73	0.07703221973
74	0.07701751476
75	0.07700571521
76	0.07698157461
77	0.07696807653
78	0.07695029414
79	0.07693912374
80	0.0769303948
81	0.07692420126
82	0.07691810643
83	0.07690643528
84	0.07689870307
85	0.07689139792
86	0.07688635137
87	0.07687807035
88	0.07687055787
89	0.07686451035
90	0.07685927541
91	0.07685378696
92	0.07684165901
93	0.07683598046
94	0.07682906052
95	0.07682176943
96	0.07681501045
97	0.0768045856
98	0.07679859259
99	0.07679423553
100	0.07678707846
101	0.07678217677
102	0.07677487565
103	0.07676959672
104	0.07676243106
105	0.0767576248
106	0.07675369053
107	0.07674931707
108	0.0767429192
109	0.07673461408
110	0.07672664082
111	0.07672148314
112	0.07671399771
113	0.07670899288
114	0.07670583018
115	0.07670086754
116	0.07669186365
117	0.07668719546
118	0.07668152087
119	0.07667553214
120	0.07667007559
121	0.07666278843
122	0.07665607718
123	0.07665117136
124	0.07664535055
125	0.07663363235
126	0.07662991061
127	0.07662685648
128	0.07662155465
129	0.0766140386
130	0.07660288368
131	0.07659663077
132	0.07658968032
133	0.07658648468
134	0.07658648147
135	0.07658009299
136	0.07657470571
137	0.07656891358
138	0.07656213469
139	0.07655847793
140	0.07655449611
141	0.07655047122
142	0.07655045112
143	0.07654460657
144	0.07653803848
145	0.07653325955
146	0.07652808453
147	0.07652187791
148	0.07651527004
149	0.07651022115
150	0.07650033419
151	0.07649845141
152	0.07649066736
153	0.07648118871
154	0.07647579896
155	0.07647113908
156	0.07646815813
157	0.07646537958
158	0.07645945766
159	0.07645371978
160	0.07644849539
161	0.07644286891
162	0.07643725666
163	0.07643362225
164	0.0764275388
165	0.07642247159
166	0.07642046801
167	0.07641522875
168	0.07641043865
169	0.07640596141
170	0.07640018171
171	0.07639550207
172	0.07639041948
173	0.07638475683
174	0.07638032587
175	0.0763756799
176	0.07636690998
177	0.07636318298
178	0.07635810143
179	0.0763533978
180	0.07634649904
181	0.07634229526
182	0.07633828557
183	0.07633337365
184	0.07632935421
185	0.07632249608
186	0.07631706408
187	0.07631169867
188	0.076306035
189	0.07629852796
190	0.07629063908
191	0.07628475208
192	0.07627963027
193	0.07627623948
194	0.07626772919
195	0.07626058621
196	0.07625497334
197	0.07624682527
198	0.07624232371
199	0.07623759476
200	0.07623270714
201	0.07623091029
202	0.07622777575
203	0.07622363514
204	0.0762186199
205	0.07621193025
206	0.07620619345
207	0.07620220047
208	0.07619310341
209	0.07618823417
210	0.07618404336
211	0.07617889951
212	0.07617514927
213	0.07617291026
214	0.07616920503
215	0.07616460506
216	0.07616030982
217	0.07615250918
218	0.07614962188
219	0.07614388409
220	0.07613985774
221	0.07613611254
222	0.07613135366
223	0.07612598882
224	0.07612099517
225	0.07611571004
226	0.07611295841
227	0.07610732056
228	0.07610012571
229	0.07609372683
230	0.07608946722
231	0.07608419391
232	0.07608010446
233	0.07607511656
234	0.07606726125
235	0.07606282879
236	0.07605744684
237	0.07605431413
238	0.07604661414
239	0.07603948216
240	0.07603530974
241	0.07602949442
242	0.0760236448
243	0.07601953555
244	0.07601459295
245	0.07601042502
246	0.07601042502
247	0.07600517075
248	0.07600144596
249	0.07599873826
250	0.07599272075
251	0.07598792692
252	0.07598137804
253	0.07597653553
254	0.07597050661
255	0.07596549032
256	0.07596095136
257	0.07595331644
258	0.07595138895
259	0.07594500731
260	0.07594106957
261	0.07593512501
262	0.07592793992
263	0.07592553544
264	0.07592235027
265	0.07591996684
266	0.07591080778
267	0.07590533491
268	0.07590099521
269	0.07589789512
270	0.07588986832
271	0.07588629796
272	0.07588266267
273	0.07587645999
274	0.07587067537
275	0.07586545965
276	0.07585912982
277	0.07585605404
278	0.07584953223
279	0.07584568763
280	0.07584254225
281	0.07583867884
282	0.07583552011
283	0.07582865043
284	0.07582562277
285	0.07582218004
286	0.07581810195
287	0.07581312329
288	0.07580763473
289	0.07580188899
290	0.07579546408
291	0.07579052677
292	0.07578642092
293	0.07578168797
294	0.07577787912
295	0.07577114214
296	0.07576708867
297	0.0757609909
298	0.07575485246
299	0.07575185182
300	0.07574507747
301	0.07574076715
302	0.07573363753
303	0.0757301538
304	0.07572399632
305	0.07572055973
306	0.07571309414
307	0.07570685194
308	0.07569988088
309	0.07569359135
310	0.07569034168
311	0.07568430159
312	0.07568083507
313	0.07567497295
314	0.07567058775
315	0.07566544557
316	0.07566021508
317	0.0756544279
318	0.07565002033
319	0.07564506929
320	0.0756392075
321	0.07563501222
322	0.07563005989
323	0.07562391746
324	0.0756186408
325	0.07561446997
326	0.07560821564
327	0.07560235347
328	0.07559666814
329	0.07559145922
330	0.07558503601
331	0.07558004436
332	0.07557644627
333	0.07557128349
334	0.07556632234
335	0.07556153843
336	0.07555697789
337	0.07555299261
338	0.07554678253
339	0.07554069762
340	0.07553641471
341	0.07553188458
342	0.07552530333
343	0.0755184424
344	0.0755133802
345	0.07551000747
346	0.07550537193
347	0.07550086252
348	0.07549615268
349	0.07548941535
350	0.07548271764
351	0.07547854599
352	0.0754706023
353	0.0754674965
354	0.0754626965
355	0.07545726813
356	0.07545345534
357	0.07544802703
358	0.07544297697
359	0.07543950685
360	0.07543503677
361	0.07542817099
362	0.0754242653
363	0.07541893203
364	0.07541320877
365	0.07541063697
366	0.07540632741
367	0.07539894091
368	0.07539452557
369	0.07538980483
370	0.07538594258
371	0.07538301708
372	0.07537702352
373	0.07537286953
374	0.07536751142
375	0.07536165575
376	0.07535773056
377	0.07535306684
378	0.07534824854
379	0.07534046455
380	0.07533757126
381	0.07533283301
382	0.0753264451
383	0.07532208949
384	0.07531798119
385	0.07531439887
386	0.07530831397
387	0.07530317233
388	0.07529978833
389	0.07529699017
390	0.07529258115
391	0.07528642825
392	0.07528321608
393	0.07527978884
394	0.07527700405
395	0.07527251125
396	0.07526462883
397	0.07525929624
398	0.07525349683
399	0.07524950869
400	0.07524464664
401	0.07524234312
402	0.07523696344
403	0.07523234485
404	0.07522760086
405	0.07522345404
406	0.07521881502
407	0.07521467382
408	0.07520892015
409	0.07520402482
410	0.07519952775
411	0.07519529811
412	0.07519031762
413	0.07518652051
414	0.0751782653
415	0.07517371446
416	0.07516741016
417	0.07516393595
418	0.07515944759
419	0.07515490421
420	0.07515074626
421	0.07514675186
422	0.07514126138
423	0.0751380947
424	0.07513381141
425	0.07512976729
426	0.07512547298
427	0.07512175056
428	0.07511905222
429	0.07511435523
430	0.0751099915
431	0.07510666884
432	0.07510326297
433	0.07509987489
434	0.07509737472
435	0.07509457591
436	0.07509033644
437	0.0750848827
438	0.0750800361
439	0.07507695565
440	0.07507357376
441	0.07506932
442	0.07506667741
443	0.07506423564
444	0.07506063122
445	0.07505682913
446	0.07505188987
447	0.07504684976
448	0.07504085169
449	0.07503677778
450	0.07503140002
451	0.07502780397
452	0.07502216358
453	0.07501939828
454	0.07501626057
455	0.07501139406
456	0.07500774983
457	0.07500298933
458	0.07499813014
459	0.07499288331
460	0.07498798389
461	0.07498449426
462	0.07498062958
463	0.07497612286
464	0.07496972164
465	0.07496685233
466	0.07495762956
467	0.07495432049
468	0.07495130626
469	0.07494713083
470	0.07494548929
471	0.07494077163
472	0.07493827511
473	0.07493385918
474	0.07492647253
475	0.07492121341
476	0.07491785117
477	0.07491400437
478	0.07490849664
479	0.07490429486
480	0.07489963141
481	0.07489518733
482	0.07489269512
483	0.07488961051
484	0.07488522307
485	0.07488201397
486	0.07487959456
487	0.07487379801
488	0.07486856246
489	0.07486609763
490	0.07486350469
491	0.07485885258
492	0.07485433089
493	0.07484963011
494	0.07484654746
495	0.07484309088
496	0.07483915839
497	0.07483425894
498	0.07482785124
499	0.07482447121
